date,open,high,low,close,volume,amount
2017-11-20,3361.36,3393.11,3337.12,3392.4,1765246.0,228308140032.0
2017-11-21,3382.36,3419.8,3377.6,3410.5,1968718.0,265303851008.0
2017-11-22,3417.33,3442.18,3404.29,3430.46,2135671.0,273674731520.0
2017-11-23,3425.01,3429.42,3342.33,3351.92,2152654.0,270469021696.0
2017-11-24,3340.38,3360.75,3328.33,3353.82,1595696.0,207623880704.0
2017-11-27,3346.66,3347.05,3315.26,3322.23,1664391.0,205803405312.0
2017-11-28,3311.23,3333.8,3300.78,3333.66,1382477.0,167062929408.0
2017-11-29,3335.57,3343.06,3305.57,3337.86,1838059.0,217769443328.0
2017-11-30,3328.64,3340.92,3306.28,3317.19,1565958.0,192076791808.0
2017-12-01,3315.11,3324.52,3302.44,3317.62,1391983.0,177490264064.0
2017-12-04,3310.38,3324.0,3304.1,3309.62,1480532.0,185025363968.0
2017-12-05,3301.69,3315.74,3300.51,3303.68,2082788.0,243489603584.0
2017-12-06,3291.31,3296.2,3254.61,3293.96,1516044.0,179174375424.0
2017-12-07,3283.28,3291.28,3259.16,3272.05,1321059.0,161764589568.0
2017-12-08,3264.48,3297.13,3258.76,3289.99,1332093.0,165761646592.0
2017-12-11,3290.49,3322.67,3288.29,3322.2,1319659.0,172986433536.0
2017-12-12,3320.31,3320.31,3280.33,3280.81,1246048.0,160978616320.0
2017-12-13,3278.4,3304.01,3273.32,3303.04,1119986.0,145295310848.0
2017-12-14,3302.93,3309.53,3282.57,3292.44,1205442.0,151346085888.0
2017-12-15,3287.53,3287.53,3259.39,3266.14,1309406.0,161877917696.0
2017-12-18,3268.03,3280.54,3254.18,3267.92,1207003.0,149738225664.0
2017-12-19,3266.02,3296.94,3266.02,3296.54,1151401.0,150786588672.0
2017-12-20,3296.74,3300.21,3276.12,3287.61,1377451.0,167961853952.0
2017-12-21,3281.12,3309.22,3267.4,3300.06,1421279.0,173740097536.0
2017-12-22,3297.69,3307.33,3293.44,3297.06,1240473.0,152099438592.0
2017-12-25,3296.21,3312.3,3270.44,3280.46,1468936.0,177293590528.0
2017-12-26,3277.84,3307.3,3274.33,3306.12,1424345.0,174679261184.0
2017-12-27,3302.46,3307.08,3270.35,3275.78,1626749.0,198264668160.0
2017-12-28,3272.29,3304.1,3263.73,3296.38,1753716.0,208019865600.0
2017-12-29,3295.25,3308.22,3292.77,3307.17,1415868.0,170356752384.0
2018-01-02,3314.03,3349.05,3314.03,3348.33,2022788.0,227788455936.0
2018-01-03,3347.74,3379.92,3345.29,3369.11,2138361.0,258366521344.0
2018-01-04,3371.0,3392.83,3365.3,3385.71,2069553.0,243090767872.0
