date,open,high,low,close,volume,amount
2021-10-18,302.32,310.23,296.21,310.11,186702,10933506304.0
2021-10-19,315.09,321.19,304.54,307.65,150890,8990013440.0
2021-10-20,310.09,320.31,305.65,307.04,124666,7444464896.0
2021-10-21,307.32,312.32,301.76,310.65,101423,6008462080.0
2021-10-22,316.19,316.19,307.5,313.65,110216,6612493312.0
2021-10-25,319.54,326.85,314.72,318.86,140521,8636989696.0
2021-10-26,332.74,334.25,310.61,311.76,148277,9075608832.0
2021-10-27,311.76,321.23,309.08,321.23,135486,8191755776.0
2021-10-28,326.76,332.32,314.5,316.87,172829,10650216960.0
2021-10-29,321.37,338.14,312.28,334.66,202687,12687999744.0
2021-11-01,335.65,356.76,330.17,340.65,221797,14502525184.0
2021-11-02,343.43,349.41,339.54,345.09,131408,8630072576.0
2021-11-03,341.21,343.99,328.43,335.09,127606,8165156864.0
2021-11-04,339.54,343.43,332.9,338.9,92010,5951843584.0
2021-11-05,334.54,340.53,331.76,331.81,85551,5465118720.0
2021-11-08,333.43,348.97,330.09,346.65,122696,8026800896.0
2021-11-09,350.51,350.65,342.39,348.03,66746,4413176576.0
2021-11-10,341.28,344.24,332.32,339.54,127398,8216658688.0
2021-11-11,341.21,349.06,340.71,343.9,77014,5069135616.0
2021-11-12,344.54,347.24,331.72,335.65,114202,7312301568.0
2021-11-15,335.64,335.64,317.29,323.98,140076,8684428544.0
2021-11-16,323.98,326.83,316.76,321.19,84335,5202056704.0
2021-11-17,325.65,329.78,322.63,327.25,75616,4721304832.0
2021-11-18,327.25,333.24,320.42,327.32,75273,4697499904.0
2021-11-19,330.09,334.54,324.01,334.54,84568,5343617280.0
2021-11-22,337.87,357.87,336.27,357.87,153090,10215261696.0
2021-11-23,357.49,357.49,349.54,352.87,99312,6671378432.0
2021-11-24,351.86,354.98,340.84,345.54,85504,5653890048.0
2021-11-25,342.32,345.37,338.03,342.87,58220,3798078528.0
2021-11-26,341.21,351.09,341.21,345.09,58502,3865245648.0
2021-11-29,342.87,359.82,342.32,357.21,114653,7758115328.0
2021-11-30,359.96,360.46,353.61,357.32,71881,4874671104.0
2021-12-01,357.32,360.09,348.49,352.87,69846,4696868352.0
2021-12-02,352.86,362.43,351.21,361.76,91790,6268320512.0
2021-12-03,362.29,363.98,352.32,361.21,80782,5501798400.0
2021-12-06,355.15,357.43,343.98,344.69,112612,7509355264.0
2021-12-07,347.32,347.87,319.65,328.98,221391,13913426176.0
2021-12-08,332.2,337.75,327.46,334.54,118866,7580712192.0
2021-12-09,334.54,335.09,325.59,331.65,134272,8443913216.0
2021-12-10,325.22,342.52,324.64,335.07,213844,13738235904.0
2021-12-13,335.04,346.57,329.58,345.29,160828,10409792256.0
2021-12-14,344.73,344.73,337.31,341.21,87811,5704000256.0
2021-12-15,340.33,346.76,338.96,340.09,70480,4606545152.0
2021-12-16,344.71,344.71,339.03,343.46,61502,4018260864.0
2021-12-17,341.21,342.87,334.93,341.31,136491,8863377920.0
2021-12-20,340.09,340.09,317.14,318.54,155114,9648532992.0
2021-12-21,316.21,321.03,309.58,315.13,125658,7553655552.0
2021-12-22,317.76,322.32,314.54,318.56,83618,5103433216.0
2021-12-23,323.42,329.98,319.58,325.13,79718,4954755072.0
2021-12-24,326.21,326.9,292.32,299.98,246081,14321299456.0
2021-12-27,298.54,306.2,298.15,300.98,101835,5915820032.0
2021-12-28,300.65,305.81,296.16,304.54,96596,5589310208.0
2021-12-29,304.54,305.09,296.08,299.29,99640,5731323392.0
2021-12-30,300.09,310.81,299.3,307.32,124209,7323088640.0
2021-12-31,311.93,316.2,302.87,306.21,93711,5540408832.0
2022-01-04,316.21,316.76,291.21,295.58,174568,9975828480.0
2022-01-05,294.21,294.47,279.54,283.71,166579,9167983360.0
2022-01-06,278.71,283.43,274.98,280.36,138826,7480050944.0
2022-01-07,285.09,288.43,272.87,279.48,131695,7135966720.0
2022-01-10,276.75,284.54,270.78,278.65,148629,7964179712.0
2022-01-11,280.16,285.04,277.54,277.71,84723,4582697728.0
